32,Banjo - Tenor,4 strings 4 courses,US via Africa,C3:G3:D4:A4
33,Banjolin,4 strings 4 courses,US,G3:D4:A4:E5
34,Baryton,17 strings 17 courses Two ranks,Europe (Germany?),A1:D2:G3:C3:E3:A3:D4
35,Biscernica - 5 string,5 strings 4 courses,Balkans,B3:E4:E4
36,Bisernica - 6 string,6 strings 4 courses,Croatia - Serbia - Hungary - Slovenia,E3:A3:D4:D4:G4:G4
37,Bordonua,10 strings 5 courses,Puerto Rico,A2:A3:D4:D3:B3:B3:E4:E4
38,Bouzouki,8 strings 4 courses,Greece,C3:C4:F3:F4:A3:A3:D4:D4
39,Bouzouki,6 strings 3 courses,Greece,D3:D4:A3:A3:D4:D4
40,Brac - 5 string,5 strings 4 courses,Croatia - Serbia - Slovenia,E3:A3:D4:G4:G4
41,Brac - 6 string,6 strings 4 courses,Croatia - Serbia - Slovenia,G3:G3:D4:D4:A4:A4
42,Braguinha,4 strings 4 courses,Madeira - Portugal,D4:B4:G4:D5
43,Bugarija - 5 string,5 strings 4 courses,Croatia - Serbia - Slovenia,G2:B2:D3:G3:G3
44,Bugarija - 6 string,6 strings 4 courses,Croatia - Serbia - Slovenia,G2:B2:D3:D3:G3:G3
45,Cak,4 strings 3 courses,Indonesia,D5:D5:G4:B4
46,Cavaquinho,4 strings 4 courses,Portugal,D4:G4:B4:D5
47,Cello,4 strings 4 courses,Europe,C2:G2:D3:A3
48,Čelovič - 4 string,4 strings 4 courses,Croatia - Serbia - Slovenia,E2:A2:D3:G3
49,Čelovič - Farkas,6 strings 4 courses,Croatia - Serbia - Slovenia,D2:G2:C3:C3:G3:G3
50,Cetera,16 strings 8 courses,Corsica - France.,C3:C3:D3
51,Chanzy,3 strings 3 courses,Tuva - Russia,F2:C3:F3
52,Chapey,3 strings 2 courses,Cambodia,F3:F3:B3
53,Chapman Stick,10 strings 10 courses,United States,E3:A2:D2:G1:C1:B2:E3:A3:D4
54,Chapman Stick - Grand Stick,12 strings 12 courses,United States,B3:E3:A2:D2:G1:C1:B2:E3:A3:D4
55,Charango,10 strings 5 courses,Bolivia - Peru - Argentina Chile - Ecuador,G4:G4:C5:C5:E5:E4:A4:A4:E5:E5
56,Charango - Ranka,11 strings 5 courses,Cochabamba - Bolivia,G4:G4:C5:C5:E5:E4:A4:A4:E5:E5:E6:D4:D4:A4:A4:G5:G4:C5:C5:G5:G5:G6
57,Charangón,10 strings 5 courses,Andean Region,D4:D4:G4:G4:B4:B3:E4:E4:B4:B4
58,Chillador,10 strings 5 courses,Andean mountains,G3:G3:C4:C4:E4:E3:A3:A3:E4:E4
59,Chitarra battente,10 strings 5 courses,Italy,A3:A3:D4:D4:G3:G3:B3:B3:E4:E4
60,Chonguri,4 strings 4 courses,Georgia,D2:F2:D3:A2
61,Çiftelia,2 strings 2 courses,Albania,B3:E3
62,Cinco Cuatro,5 strings 4 courses,North-western Venezuela,G3:D4:D3:B4
63,Cittern,10 strings 5 courses,Europe,C2:C2:G2:G2:D3:D3:A3:A3:D4:D4
64,Cretan lyra,3 strings 3 courses,Crete - Greece,D3:A3:E5
65,Crwth,5 strings 5 courses,Wales,G2:C3:C2:D2:D3
66,Cuatro Alto,10 strings 5 courses,Puerto Rico,B3:B4:E4:E4:A4:A4:D5:D5
67,Cuatro Antiguo,8 strings 4 courses,Puerto Rico,A3:A3:E4:E4:A4:A4:D5:D5
68,Cuatro Bajo,10 strings 5 courses,Puerto Rico,E3:E2:A3:A2:D3:D3:G3:G3:C4:C4
69,Cuatro Cubano,8 strings 4 courses,Cuba,G4:G3:C4:C4:E4:E4:A4:A4
70,Cuatro Soprano,10 strings 5 courses,Puerto Rico,B4:B4:E5:E5:A5:A5
71,Cuatro - Puerto Rican,10 strings 5 courses,Puerto Rico,B3:B2:E4:E3:A3:A3:D4:D4:G4:G4
72,Cuatro - Venezuelan,4 strings 4 courses,Venezuela,A3:D4:B3
73,Cuk,3 strings 3 courses,Indonesia,G4:B3:E3
74,Cümbüş,12 strings 6 courses,Turkey,A2:A2:B2:B2:E3:E3:A3:A3:D4:D4:G4:G4
75,Cümbüş - Tambur,6 strings 3 courses,Turkey,D2:D2:A2:A2:D3:D3
76,Cura,6 strings 3 courses,Turkey,D4:D4:A4:A4:E5:E5
77,Cura,7 strings 3 courses,Turkey,G3:G3:D4:D4:A4:A4:A4
78,Cura,8 strings 4 courses,Turkey,G3:G3:D4:D4:A4:A4:E5:E5
79,Đàn đáy,3 strings 3 courses,Vietnam,G3:C4:F4
80,Đàn tranh,17 strings - 17 courses,Vietnam,G3:A3:C4:D4:E4:G4:A4:C5:D5:E5:G5:A5:C6:D6:E6:G7:A7
81,Dihu,2 strings 2 courses,China,G2:D3:D3:A3
82,Domra - Alto,4 strings 4 courses,Ukraine,C3:G3:D4:A4
83,Domra - Alto,3 strings 3 courses,Russia,E3:A3:D4
84,Domra - Bass,4 strings 4 courses,Ukraine,C2:G2:D3:A3
85,Domra - Bass,3 strings 3 courses,Russia,E2:A2:D3
86,Domra - Contrabass,3 strings 3 courses,Russia,E1:A1:D2
87,Domra - Contrabass,4 strings 4 courses,Ukraine,E1:A1:D2:G2
88,Domra - Mezzo-soprano,3 strings 3 courses,Russia,B3:E4:A4
89,Domra - Piccolo,3 strings 3 courses,Russia,B4:E5:A5
90,Domra - Piccolo,4 strings 4 courses,Ukraine,C4:G4:D5:A5
91,Domra - Prima,3 strings 3 courses,Russia,E4:A4:D5
92,Domra - Prima,4 strings 4 courses,Ukraine,G3:D4:A4:E5
93,Domra - Tenor,3 strings 3 courses,Russia,B2:E3:A3
94,Domra - Tenor,4 strings 4 courses,Ukraine,G2:D3:A3:E4
95,Dotar,2 strings 2 courses,Uzbekistan,D3:G3
96,Dotara,4 strings 4 courses,India,B4
97,Dotara,6 strings 5 courses,Bangladesh,G2:G3:C4:G4:G4:C5
98,Double bass,4 strings 4 courses,Europe,E1:A1:D2:G2
99,Double bass - 5-string,5 strings 5 courses,Europe,C1:E1:A1:D2:G2
