A-1,9,13.75
A0,21,27.5
A1,33,55
A2,45,110
A3,57,220
A4,69,440
A5,81,880
A6,93,1760
A7,105,3520
A8,117,7040
B-1,11,15.434
B0,23,30.868
B1,35,61.735
B2,47,123.47
B3,59,246.94
B4,71,493.88
B5,83,987.77
B6,95,1975.5
B7,107,3951.1
B8,119,7902.1
C-1,0,8.176
C0,12,16.352
C1,24,32.703
C2,36,65.406
C3,48,130.81
C4,60,261.63
C5,72,523.25
C6,84,1046.5
C7,96,2093
C8,108,4186
C9,120,8372
D-1,2,9.177
D0,14,18.354
D1,26,36.708
D2,38,73.416
D3,50,146.83
D4,62,293.66
D5,74,587.33
D6,86,1174.7
D7,98,2349.3
D8,110,4698.6
D9,122,9397.3
E-1,4,10.301
E0,16,20.602
E1,28,41.203
E2,40,82.407
E3,52,164.81
E4,64,329.63
E5,76,659.26
E6,88,1318.5
E7,100,2637
E8,112,5274
E9,124,10548.1
F-1,5,10.914
F0,17,21.827
F1,29,43.654
F2,41,87.307
F3,53,174.61
F4,65,349.23
F5,77,698.46
F6,89,1396.9
F7,101,2793.8
F8,113,5587.7
F9,125,11175.3
G-1,7,12.25
G0,19,24.5
G1,31,48.999
G2,43,97.999
G3,55,196
G4,67,392
G5,79,783.99
G6,91,1568
G7,103,3136
G8,115,6271.9
G9,127,12543.9
